Unnamed: 0,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,views,votes
0,flora0222,"Jul 16th, 2020 8:29 am",,"Jul 17th, 2020 9:20 am",,6.99,89,,Staples,Home & Garden,"One Step Hand Sanitizer, Fragrance-Free, 473mL, $6.99",15445,132
1,yellowmp5,"Jul 13th, 2020 1:29 pm",,"Jul 17th, 2020 9:18 am",,,441,,Home Depot,Home & Garden,RYOBI 20% coupon barcode,59219,159
2,riseagainstthemachine,"Jul 2nd, 2020 10:03 am",,"Jul 17th, 2020 9:17 am",,free,92,,,Apparel,Kits.com Free Pair Prescription Glasses,25242,54
3,Googliya,"Jul 17th, 2020 7:23 am",,"Jul 17th, 2020 9:15 am",,469.99,13,,Costco,Sports & Fitness,"Northrock xc00, fat Tire bike, $469.99",1769,2
4,Presents,"Jul 16th, 2020 1:36 pm","July 29, 2020","Jul 17th, 2020 9:15 am",,,24,,Canadian Tire,Automotive,60x total CT Money when you pay with your Triangle WE MC - All Tire & Wheel purchases (YMMV),2981,9
5,User452441,"Apr 7th, 2020 6:05 pm",,"Jul 17th, 2020 9:15 am",,$39.99,261,,Costco,Beauty & Wellness,Wahl deluxe haircutting kit $39.99 YMMV,112880,27
6,OriginalG,"Jun 30th, 2020 4:48 pm",,"Jul 17th, 2020 9:14 am",Apparel,27.50,280,50% +4%CB,,Men's Shoes,Oakley Men’s Super Coil Sandal 2.0 Sandals $27.50 (50% off) +4% CB,50708,118
7,SoulTracer,"Jun 30th, 2020 5:28 pm",,"Jul 17th, 2020 9:14 am",,278.40,157,$119.60,Home Depot,Home & Garden,40v 20” Ryobi Push Mower $278+HST (w/ 20% coupon),20936,27
8,Kafer,"Jul 15th, 2020 11:02 am",,"Jul 17th, 2020 9:13 am",Home & Garden,$99.99,71,,PetSmart,Pets,Fluval Flex 9 gallon aquarium- $99.99,9571,29
9,samguan,"Jul 17th, 2020 8:06 am",,"Jul 17th, 2020 9:13 am",,$327.99,5,,Amazon.ca,Computers & Electronics,LU28R550UQNXZA Samsung 28” 4K IPS Monitor $327.99,862,0
10,Aminoff,"Jul 17th, 2020 7:39 am",,"Jul 17th, 2020 9:12 am",Computers & Electronics,39,2,,,Telecom,100mb cable internet 39$,630,-1
11,tmd2006,"Jul 13th, 2020 11:49 am",,"Jul 17th, 2020 9:12 am",Kids & Babies,199,101,,Costco,Toys & Games,Costco.ca Geometric dome climbing structure $199,25080,25
12,shaibal,"Jun 27th, 2020 8:39 pm","July 2, 2020","Jul 17th, 2020 9:11 am",Computers & Electronics,1998,28,600 off,,Televisions,"[Visions] Samsung 65"" Q80T (2020) QLED at $1998",7974,4
13,dgshop,"Jun 23rd, 2020 11:28 pm",,"Jul 17th, 2020 9:11 am",,,209,,Old Navy,Apparel,Old Navy: $15 for 5 Reusable Face Masks (Triple-Layer Cotton) Adults & Children,50584,32
14,Freebush,"Jul 15th, 2020 3:16 pm",,"Jul 17th, 2020 9:10 am",,$596.25,46,$43.74,Amazon.ca,Computers & Electronics,"AMD Ryzen 9 3900X 12-core, 24-thread unlocked desktop processor with Wraith Prism LED Cooler $596.25 PM OP",8168,10
