,tabpfn_ausreisser_wert,tabpfn_ausreisser_wert_norm
0,73762505000.0,3.1706113e-12
1,6952829000000.0,2.9886144e-10
2,2457290000.0,1.05617636e-13
3,10812875.0,4.579049e-16
4,101229920.0,4.3444045e-15
5,5173142400000.0,2.2236311e-10
6,167387280000.0,7.194993e-12
7,55918023000.0,2.4035817e-12
8,2285756200.0,9.8244404e-14
9,6610142.5,2.77254e-16
10,951940.25,3.4041013e-17
11,2567826000.0,1.1036893e-13
12,55346910.0,2.3721626e-15
13,42188984000.0,1.8134506e-12
14,135671330.0,5.824839e-15
15,473664860.0,2.0353202e-14
16,6375936500.0,2.740573e-13
17,377419040.0,1.6216158e-14
18,1881797.4,7.401013e-17
19,29537394.0,1.2627624e-15
20,1.5637527e+20,0.0067216577
21,126935144.0,5.4493212e-15
22,1802093.6,7.0584136e-17
23,1268851300.0,5.4533614e-14
24,839779.0,2.9219857e-17
25,141850420.0,6.0904418e-15
26,24567968000000.0,1.0560331e-09
27,81013580.0,3.4754226e-15
28,905177000.0,3.8901384e-14
29,1273876600.0,5.474962e-14
30,836287.56,2.9069784e-17
31,140824860.0,6.046359e-15
32,936082200.0,4.0229816e-14
33,2921917.0,1.1871879e-16
34,3407117000.0,1.4644515e-13
35,6179026400.0,2.655933e-13
36,932832260.0,4.009012e-14
37,1003310660.0,4.3119574e-14
38,542340.6,1.6434724e-17
39,18138732.0,7.728006e-16
40,1259326.4,4.7253745e-17
41,943719.3,3.3687645e-17
42,2818804.0,1.1428656e-16
43,2702692.2,1.092956e-16
44,247771400.0,1.06433645e-14
45,1800761.5,7.0526875e-17
46,1171704.1,4.3487376e-17
47,1051096.2,3.830315e-17
48,35626970.0,1.5245174e-15
49,5760090600.0,2.475857e-13
50,1958197.5,7.7294125e-17
51,1492163.6,5.7262054e-17
52,216945.23,2.4478805e-18
53,78514760.0,3.3680126e-15
54,79290450000.0,3.4082255e-12
55,2741179000000000.0,1.1782725e-07
56,73026104.0,3.1320875e-15
57,64246514000.0,2.7615746e-12
58,747515.7,2.5254e-17
59,740352.06,2.4946077e-17
60,180389.77,8.765749e-19
61,4871625.5,2.0252534e-16
62,8677964.0,3.6613756e-16
63,41674028.0,1.7844454e-15
64,92488504.0,3.968662e-15
65,189751920.0,8.149447e-15
66,22824714.0,9.742236e-16
67,9809788000000.0,4.2166537e-10
68,58318964.0,2.4999136e-15
69,660525760.0,2.8385258e-14
70,14248912.0,6.056e-16
71,636538200.0,2.7354173e-14
