Unnamed: 0,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,views,votes
0,flora0222,"jul 16th, 2020 8:29 am","june 22, 2020","jul 17th, 2020 9:20 am",small business,6.99,89,- $9.00,staples,home & garden,"one step hand sanitizer, fragrance-free, 473ml, $6.99",15445,132
1,yellowmp5,"jul 13th, 2020 1:29 pm",_nan_,"jul 17th, 2020 9:18 am",home & garden,_nan_,441,_nan_,home depot,home & garden,ryobi 20% coupon barcode,59219,159
2,riseagainstthemachine,"jul 2nd, 2020 10:03 am","august 27, 2020","jul 17th, 2020 9:17 am",restaurants,free,92,60,microsoft store,apparel,kits.com free pair prescription glasses,25242,54
3,googliya,"jul 17th, 2020 7:23 am","july 29, 2020","jul 17th, 2020 9:15 am",automotive,469.99,13,$1.50,costco,sports & fitness,"northrock xc00, fat tire bike, $469.99",1769,2
4,presents,"jul 16th, 2020 1:36 pm","july 29, 2020","jul 17th, 2020 9:15 am",apparel,469.99,24,14% off,canadian tire,automotive,60x total ct money when you pay with your triangle we mc - all tire & wheel purchases (ymmv),2981,9
5,user452441,"apr 7th, 2020 6:05 pm","july 29, 2020","jul 17th, 2020 9:15 am",home & garden,$39.99,261,$30,costco,beauty & wellness,wahl deluxe haircutting kit $39.99 ymmv,112880,27
6,originalg,"jun 30th, 2020 4:48 pm",_nan_,"jul 17th, 2020 9:14 am",apparel,27.50,280,50% +4%cb,michaels,men's shoes,oakley men’s super coil sandal 2.0 sandals $27.50 (50% off) +4% cb,50708,118
7,soultracer,"jun 30th, 2020 5:28 pm","june 21, 2020","jul 17th, 2020 9:14 am",apparel,278.40,157,$119.60,home depot,home & garden,40v 20” ryobi push mower $278+hst (w/ 20% coupon),20936,27
8,kafer,"jul 15th, 2020 11:02 am","august 3, 2020","jul 17th, 2020 9:13 am",home & garden,$99.99,71,$60.00,petsmart,pets,fluval flex 9 gallon aquarium- $99.99,9571,29
9,samguan,"jul 17th, 2020 8:06 am",_nan_,"jul 17th, 2020 9:13 am",beauty & wellness,$327.99,5,_nan_,amazon.ca,computers & electronics,lu28r550uqnxza samsung 28” 4k ips monitor $327.99,862,0
10,aminoff,"jul 17th, 2020 7:39 am","july 22, 2020","jul 17th, 2020 9:12 am",computers & electronics,39,2,50,the source,telecom,100mb cable internet 39$,630,-1
