original_index,Unnamed: 0,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
0,0,flora0222,2020-07-16T08:29:00,,2020-07-17T09:20:00,,6.99,89,,Staples,Home & Garden,"One Step Hand Sanitizer, Fragrance-Free, 473mL, $6.99",https://staplescanada.4u8mqw.net/c/341376/755401/10903?u=https://www.staples.ca/products/833572-en-one-step-hand-sanitizer-fragrance-free-473ml,15445,132
1,1,yellowmp5,2020-07-13T13:29:00,,2020-07-17T09:18:00,,,441,,Home Depot,Home & Garden,RYOBI 20% coupon barcode,,59219,159
2,2,riseagainstthemachine,2020-07-02T10:03:00,,2020-07-17T09:17:00,,0.0,92,,,Apparel,Kits.com Free Pair Prescription Glasses,https://www.kits.com/freeglasses.html,25242,54
3,3,Googliya,2020-07-17T07:23:00,,2020-07-17T09:15:00,,469.99,13,,Costco,Sports & Fitness,"Northrock XC00 Fat Tire Bike, $469.99",https://www.costco.ca/northrock-xc00-fat-tire-bike.product.100517805.html,1769,2
4,4,Presents,2020-07-16T13:36:00,2020-07-29,2020-07-17T09:15:00,,,24,,Canadian Tire,Automotive,60x total CT Money when you pay with your Triangle WE MC - All Tire & Wheel purchases (YMMV),,2981,9
5,5,User452441,2020-04-07T18:05:00,,2020-07-17T09:15:00,,39.99,261,,Costco,Beauty & Wellness,Wahl deluxe haircutting kit $39.99 YMMV,,112880,27
6,6,OriginalG,2020-06-30T16:48:00,,2020-07-17T09:14:00,Apparel,27.5,280,50% +4%CB,,Men's Shoes,Oakley Men's Super Coil Sandal 2.0 Sandals $27.50 (50% off) +4% CB,http://go.redirectingat.com?id=2927x594702&xs=1&url=https%3A%2F%2Fwww.oakley.com%2Fen-ca%2Fproduct%2F15030%3Fvariant%3D190645790333,50708,118
7,7,SoulTracer,2020-06-30T17:28:00,,2020-07-17T09:14:00,,278.4,157,119.6,Home Depot,Home & Garden,"40v 20"" Ryobi Push Mower $278+HST (w/ 20% coupon)",https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/ryobi-20-inch-40v-brushless-lithium-ion-cordless-walk-behind-push-lawn-mower-with-6-0ah-battery/1001487536,20936,27
8,8,Kafer,2020-07-15T11:02:00,,2020-07-17T09:13:00,Home & Garden,99.99,71,,PetSmart,Pets,Fluval Flex 9 gallon aquarium- $99.99,https://www.petsmart.ca/fish/tanks-aquariums-and-nets/aquariums/fluval-flex-9-gallon-aquarium-kit-42246.html,9571,29
9,9,samguan,2020-07-17T08:06:00,,2020-07-17T09:13:00,,327.99,5,,Amazon.ca,Computers & Electronics,"LU28R550UQNXZA Samsung 28"" 4K IPS Monitor $327.99",http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB084V9CJB1%2Fref%3Dcm_sw_r_cp_api_i_YmzeFbWRH6ZWQ&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,862,0
